COUNTRY,YEAR,VALUE
Australia,2021,715
Australia,2022,810
Australia,2023,880
Canada,2021,1745
Canada,2022,1850
Canada,2023,1942
Chile,2018,1399
Chile,2019,3293
Chile,2020,1977
Chile,2021,1417
Chile,2022,1422
Chile,2023,1220
Colombia,2018,2309
Colombia,2019,2556
Colombia,2020,2744
Colombia,2021,5182
Colombia,2022,4215
Colombia,2023,5211
Denmark,2020,596
Denmark,2021,835
Denmark,2022,375
Denmark,2023,511
Egypt,2008,81
Egypt,2009,49
Egypt,2010,120
Egypt,2011,1481
Egypt,2012,403
Egypt,2013,2343
Egypt,2014,1476
Egypt,2015,1127
Egypt,2016,712
Egypt,2017,560
Egypt,2018,463
Egypt,2019,651
Egypt,2020,625
Egypt,2021,301
Egypt,2022,241
Egypt,2023,198
France,2020,5485
France,2021,8673
France,2022,6700
France,2023,8773
Indonesia,2015,598
Indonesia,2016,434
Indonesia,2017,324
Indonesia,2018,1073
Indonesia,2019,1548
Indonesia,2020,1934
Indonesia,2021,2135
Indonesia,2022,3405
Indonesia,2023,3490
Israel,2016,187
Israel,2017,417
Israel,2018,735
Israel,2019,718
Israel,2020,1505
Israel,2021,1439
Israel,2022,933
Israel,2023,3727
Italy,2020,5807
Italy,2021,7565
Italy,2022,4748
Italy,2023,3240
Japan,2018,1667
Japan,2019,1327
Japan,2020,1550
Japan,2021,1429
Japan,2022,1603
Japan,2023,1791
Jordan,2016,109
Jordan,2017,129
Jordan,2018,778
Jordan,2019,799
Jordan,2020,355
Jordan,2021,390
Jordan,2022,457
Jordan,2023,440
Malta,2020,49
Malta,2021,77
Malta,2022,82
Malta,2023,76
Mauritius,2020,64
Mauritius,2021,119
Mauritius,2022,150
Mauritius,2023,117
Mexico,2018,12609
Mexico,2019,12958
Mexico,2020,13184
Mexico,2021,13883
Mexico,2022,13437
Mexico,2023,12699
New Zealand,2021,238
New Zealand,2022,305
New Zealand,2023,214
Paraguay,2018,300
Paraguay,2019,583
Paraguay,2020,771
Paraguay,2021,1318
Paraguay,2022,1177
Paraguay,2023,834
Peru,2018,418
Peru,2019,749
Peru,2020,1226
Peru,2021,1391
Peru,2022,2052
Peru,2023,3368
Poland,2020,1841
Poland,2021,1898
Poland,2022,1247
Poland,2023,1034
Russia,2018,1554
Russia,2019,2096
Russia,2020,1626
Russia,2021,1745
Russia,2022,1740
Russia,2023,3460
South Africa,2008,235
South Africa,2009,370
South Africa,2010,306
South Africa,2011,308
South Africa,2012,1056
South Africa,2013,1042
South Africa,2014,1089
South Africa,2015,1518
South Africa,2016,1437
South Africa,2017,1050
South Africa,2018,1103
South Africa,2019,1598
South Africa,2020,1855
South Africa,2021,1973
South Africa,2022,2072
South Africa,2023,2061
South Korea,2018,3990
South Korea,2019,5504
South Korea,2020,5024
South Korea,2021,6369
South Korea,2022,6079
South Korea,2023,6340
Thailand,2010,1002
Thailand,2011,800
Thailand,2012,706
Thailand,2013,1005
Thailand,2014,1163
Thailand,2015,653
Thailand,2016,662
Thailand,2017,477
Thailand,2018,418
Thailand,2019,476
Thailand,2020,960
Thailand,2021,1109
Thailand,2022,450
Thailand,2023,459
United Kingdom,2020,2325
United Kingdom,2021,1707
United Kingdom,2022,1797
United Kingdom,2023,1131
United States,2020,22648
United States,2021,13475
United States,2022,12442
United States,2023,11792
